name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Kingdom,50373389,50282336,50443878,50610712,50784636,50968092,51208178,51455520,51680292,51985360,52448523,52708934,53341128,53678200,54065700,54435700,54654100,54978400,55282500,55534000,55710700,55928013,56096677,56222893,56235642,56225718,56216121,56189910,56178025,56240053,56329673,56357464,56290711,56315677,56409327,56553955,56683835,56803958,56916448,57076451,57237493,57438658,57584530,57713889,57862145,58024799,58164374,58314249,58474943,58684427,58886065,59113016,59365677,59636662,59950364,60413276,60827067,61319075,61823772,62260486,62759456,63285145,63705030,64105654,64596752,65110034,65648054,66040229,66435550,66796807,67081234
United States,152271417,154877889,157552740,160184192,163025854,165931202,168903031,171984130,174881904,177829628,180671158,183691481,186537737,189241798,191888791,194302963,196560338,198712056,200706052,202676946,205052174,207660677,209896021,211908788,213853928,215973199,218035164,220239425,222584545,225055487,227224681,229465714,231664458,233791994,235824902,237923795,240132887,242288918,244498982,246819230,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
Argentina,17150336,17517342,17876954,18230815,18580556,18927820,19271511,19610538,19946536,20281148,20616010,20950583,21283784,21616406,21949246,22283102,22611643,22934338,23260684,23600177,23962314,24354307,24769829,25198050,25628164,26049353,26458241,26862054,27265831,27674632,28093507,28524120,28963109,29407972,29856213,30305336,30757601,31214665,31673154,32129676,32580854,33028546,33475005,33917440,34353066,34779096,35195575,35604362,36005387,36398577,36783859,37156654,37537783,37927463,38325927,38733406,39127239,39529440,39940234,40359828,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763
Brazil,53974728,55606413,57283658,58999276,60749490,62533920,64355709,66221469,68140426,70123372,72179235,74311338,76514329,78772647,81064572,83373533,85696502,88035815,90387079,92746607,95113265,97482928,99859388,102259497,104706193,107216209,109790943,112425392,115121158,117878412,122081510,124807167,127604588,130434274,133238189,135979454,138662472,141282564,143851505,146393753,148935328,151467861,153973883,156454116,158910651,161345581,163767821,166187066,168606400,171029011,173765726,176208646,178499255,180708344,182865043,184991143,187061610,189038268,191010274,192980905,194890682,196603732,198314934,200004188,201717541,203475683,205156587,206804741,208494900,210147125,211755692
Bulgaria,7250996,7310533,7372016,7434686,7497950,7561487,7625194,7689135,7753612,7819004,7867374,7943118,8012946,8078145,8144340,8204168,8258057,8310226,8369603,8434172,8489574,8536395,8576200,8620967,8678745,8720742,8758599,8804183,8814032,8825940,8861535,8891117,8917457,8939738,8960679,8960547,8958171,8971359,8981446,8876972,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009141.5,7837160.5,7775326.5,7716860,7658972,7601022,7545337.5,7492560.5,7444442.5,7395598.5,7348327.5,7305888,7265114.5,7223937.5,7177991,7127821.5,7075946.5,7025036.5,6975760.5,6934015
China,554419269,569909108,582576497,593365882,603052316,612241552,621363233,630677648,640295777,650212731,660408054,670952701,682102654,694339084,708254602,724218970,742414887,762581176,784074715,805985941,827601385,848759709,869485962,889485368,908464206,926240889,942685412,957891271,972205441,986132214,1000089228,1014022211,1027948989,1042431401,1058171973,1075589363,1095014106,1116095475,1137724234,1158357393,1176883681,1192897277,1206711243,1218817059,1230020026,1240920539,1251636178,1261996017,1271982349,1281514833,1290550767,1299129747,1307352256,1315303522,1323084639,1330776380,1338408644,1345993891,1353569480,1361169410,1368810604,1376497633,1384206408,1391883335,1399453966,1406847868,1414049353,1421021794,1427647789,1433783692,1439323774
Croatia,3850297,3886221,3922673,3959116,3995136,4030415,4064775,4098126,4130491,4161965,4192635,4222503,4251421,4279061,4304988,4328923,4350816,4370859,4389321,4406606,4423073,4438815,4453988,4469038,4484523,4500867,4518102,4536199,4555419,4576033,4598130,4621419,4645413,4669614,4693431,4716117,4737948,4758151,4773682,4780628,4776374,4760003,4732862,4697538,4657803,4616766,4574888,4532401,4491907,4456437,4428075,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047700
Cyprus,494018,500384,506630,513429,521186,529970,539568,549465,558897,566969,572933,576402,577696,577918,578628,580972,585313,591301,598495,606121,613618,620860,628002,635105,642322,649753,657524,665521,673253,680010,685408,689170,523734,528071,534958,541502,547747,553736,559639,567674,579898,595105,611151,626087,639170,650860,661326,670764,679042,686675,694020,701537,709631,718305,727977,738541,750964,767128,786630,808038,829444,850882,863945,861938,852511,847662,851559,859520,870071,881949,892828
India,376325200,382376945,388799076,395544365,402578594,409880606,417442811,425270709,433380978,441798571,450547675,459642166,469077191,478825602,488848139,499123328,509631509,520400577,531513834,543084333,555189797,567868021,581087255,594770136,608802595,623102900,637630085,652408766,667499815,682995348,698952837,715384997,732239498,749428958,766833411,784360012,801975250,819682095,837468938,855334675,873277799,891273202,909307018,927403866,945601828,963922586,982365248,1000900028,1019483586,1038058154,1056575548,1075000094,1093317187,1111523146,1129623466,1147609924,1165486291,1183209471,1200669762,1217726217,1234281163,1250287939,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385
Indonesia,69543321,70849443,72274629,73820844,75487888,77273427,79172800,81179211,83284051,85477628,87751066,90098396,92518373,95015295,97596728,100267070,103025423,105865576,108779926,111758566,114793179,117880146,121017316,124199693,127422198,130680730,133966940,137278057,140621731,144009844,147447834,150938222,154468235,158009248,161523353,164982452,168374287,171702756,174975953,178209147,181413398,184591897,187739786,190851184,193917458,196934257,199901231,202826444,205724597,208615171,211513822,214427419,217357790,220309473,223285666,226289468,229318262,232374239,235469755,238620554,241834226,245115988,248451714,251805314,255128076,255587900,258496500,261355500,264161600,266911900,269603400
Malta,311998,312215,312746,313266,313562,313523,313195,312702,312303,312316,312973,314414,316520,318888,320927,322238,322696,322457,321762,321031,320548,320364,320437,320801,321436,322358,323579,325126,326984,329117,331494,334115,336964,339984,330593,336452,342121,344485,347325,350722,354170,357727,361260,364704,367941,370433,372687,375236,377516,379360,385808,393028,395969,398582,401263,403825,405311,406725,409377,412474,414509,416264,420033,425968,434557,445056,455356,468005,484634,504059,520193
Romania,16236289,16512670,16764911,17005719,17243812,17483935,17726634,17968470,18202715,18420450,18613945,18780210,18924152,19059934,19207139,19379575,19582332,19810612,19799831,20009141,20250396,20461575,20657956,20835682,21029428,21293586,21551631,21756097,21951467,22090484,22207284,22353071,22475742,22560476,22640545,22732997,22836836,22949427,23057660,23161460,23201832,23001160,22794284,22763283,22730216,22684268,22619005,22553982,22507354,22472043,22442973,22131974,21675775,21574365,21451845,21319673,21193749,20882980,20537848,20367437,20246798,20147657,20060182,19988694,19916451,19822250,19706424,19592933,19476713,19375835,19260218
Russia,102798649,104304698,105967087,107727310,109536504,111355301,113154332,114913780,116622392,118275873,119871700,121403897,122858215,124210253,125430991,126503741,127417192,128187398,128859795,129497500,130148650,130830724,131539634,132275730,133032258,133804859,134596225,135413335,136259824,137139387,138053143,138993850,139954626,140935774,141938482,142957289,143995348,145032886,146013482,146863927,147969413,148394220,148538190,148458780,148407906,148375796,148160121,147915371,147670787,147214777,146596873,145976465,145306489,144565937,143821218,143113885,142487259,142114903,141956413,141909248,142389969,142960911,143201721,143506995,143819657,146406004,146674542,146842404,146830572,146764661,146459803
Saudi Arabia,3121340,3198811,3283593,3372837,3464662,3558165,3653505,3751798,3855030,3965799,4086534,4218852,4362788,4516540,4677304,4843632,5015353,5195124,5387822,5599909,5836388,6100631,6392973,6711922,7054532,7419486,7802928,8207695,8646845,9137928,9691471,10311771,10988851,11701132,12418836,13118998,13794167,14445663,15070082,15666289,16233786,16772695,17282686,17763297,18214475,18638790,19033843,19407138,19783301,20194531,20663840,21202646,21805322,22456645,23132686,23816175,24498313,25184589,25888535,26630303,27421468,28267591,29154906,30052058,30916603,31717676,31787580,32612641,33413660,34218169,35013414
Singapore,1022095,1067797,1119932,1177580,1239692,1305103,1372516,1440490,1507544,1572174,1646400,1702400,1750200,1795000,1841600,1886900,1934400,1977600,2012000,2042500,2013563,2112900,2152400,2193000,2229800,2262600,2293300,2325300,2353600,2383500,2282125,2324403,2365707,2406165,2443705,2482615,2518598,2553864,2598458,2647627,2735868,2794704,2849754,2904547,2959350,3013515,3068132,3123403,3180018,3229681,3273363,3325902,3382944,3366891,3413266,3467814,3525894,3583082,3642659,3733876,3771721,3789251,3818205,3844751,3870739,3902690,3933559,3965796,3994283,4026209,4044210
South Africa,13628434,13921934,14226257,14541560,14868163,15206501,15557198,15921020,16298795,16691451,17099836,17524533,17965733,18423157,18896303,19384838,19888259,20406863,20942147,21496075,22069783,22665265,23281517,23913090,24552540,25195184,25836890,26480915,27138966,27827325,28556771,29333095,30150448,30993762,31841588,32678876,33495956,34297727,35100905,35930056,36800507,37718952,38672611,39633754,40564061,41435761,42241007,42987456,43682259,44338551,44967713,45571272,46409106,46866012,47377063,47920487,48486679,49098845,49757466,50469139,51226051,52018393,52827909,53649096,54488424,55319826,56140764,56990964,57859351,58726826,59538697
